Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
11	:	1695744449.011	   623.101	0	22516	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/6f6e5ea5-2406-4d2f-9989-f2d6e33312e6/stream.mp3
3	:	1695744448.983	   769.589	0	29836	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/2f8c0bc9-a240-433d-934c-8971d8da0a6c/stream.mp3
9	:	1695744449.003	  2122.503	0	63166	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/5c6ec59f-6287-4cc2-be24-717569238525/stream.mp3
18	:	1695744449.036	  2177.566	0	55038	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/ea38b9f8-94cd-4455-a341-89f943ebf410/stream.mp3
7	:	1695744448.996	  2207.661	0	99841	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/567bd372-73d9-4f2c-bc30-aee9a99ccaec/stream.mp3
16	:	1695744449.030	  2335.660	0	62553	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/c7d753bf-a688-4692-a5c8-f9ffc31aaad6/stream.mp3
14	:	1695744449.022	  2651.570	0	59835	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/a81b1caf-6bed-4bfa-b5f5-afefa4aec3dd/stream.mp3
15	:	1695744449.026	  2757.983	0	65742	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/bf23ae1f-a524-4737-ba08-07ece32c6ac6/stream.mp3
6	:	1695744448.993	  2816.395	0	76248	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/4d002f6d-809c-424c-8c1c-e81eede7c608/stream.mp3
20	:	1695744449.043	  2869.769	0	63495	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/f6f6d9ed-c9e6-424e-9c09-752be5b08153/stream.mp3
5	:	1695744448.989	  3020.532	0	79468	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/3eb1266f-717a-436b-a2b1-a084f9c416dc/stream.mp3
