Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
11	:	1695822427.308	   909.381	0	119280	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/6f6e5ea5-2406-4d2f-9989-f2d6e33312e6/stream.mp3
3	:	1695822427.287	  1150.534	0	153322	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/2f8c0bc9-a240-433d-934c-8971d8da0a6c/stream.mp3
9	:	1695822427.303	  2824.164	0	333806	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/5c6ec59f-6287-4cc2-be24-717569238525/stream.mp3
29	:	1695822427.420	  2881.164	0	308200	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://abacuswealth.com/podcast-download/31161/if-money-were-easy-behind-the-scenes-of-co-leadership.mp3
18	:	1695822427.329	  2890.690	0	296776	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/ea38b9f8-94cd-4455-a341-89f943ebf410/stream.mp3
30	:	1695822427.428	  3092.493	0	303949	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://abacuswealth.com/podcast-download/31097/if-money-were-easy-what-shareholder-engagement-looks-like-in-action-with-kate-barron-alicante.mp3
7	:	1695822427.297	  3105.546	0	467551	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/567bd372-73d9-4f2c-bc30-aee9a99ccaec/stream.mp3
28	:	1695822427.416	  3132.825	0	282234	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://abacuswealth.com/podcast-download/31290/if-money-were-easy-uniting-mothers-as-advocates-with-raena-boston.mp3
14	:	1695822427.316	  3163.782	0	325783	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/a81b1caf-6bed-4bfa-b5f5-afefa4aec3dd/stream.mp3
16	:	1695822427.322	  3279.973	0	329215	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/c7d753bf-a688-4692-a5c8-f9ffc31aaad6/stream.mp3
39	:	1695825591.222	   273.508	0	55107	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597898/romanos_96.mp3
15	:	1695822427.319	  3491.796	0	361577	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/bf23ae1f-a524-4737-ba08-07ece32c6ac6/stream.mp3
38	:	1695825560.357	   363.062	0	61518	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263240/romanos_91.mp3
43	:	1695825923.461	   223.433	0	46086	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597894/romanos_98.mp3
