Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1695820645.429	    70.588	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/2f8c0bc9-a240-433d-934c-8971d8da0a6c/stream.mp3
1	:	1695820645.423	  1773.134	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/3c3e73af-49ff-41a2-9d84-f83c51a6de9d/stream.mp3
4	:	1695820716.022	  1724.513	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/3e117127-2451-4717-ba7f-b031b0acbe8d/stream.mp3
2	:	1695820645.426	  1820.498	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/27e662c8-bea5-4b93-bb57-3fa15853b336/stream.mp3
7	:	1695822465.930	  1184.211	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/567bd372-73d9-4f2c-bc30-aee9a99ccaec/stream.mp3
5	:	1695822418.562	  1633.247	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/3eb1266f-717a-436b-a2b1-a084f9c416dc/stream.mp3
6	:	1695822440.540	  1878.490	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/4d002f6d-809c-424c-8c1c-e81eede7c608/stream.mp3
9	:	1695824051.821	  1278.747	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/5c6ec59f-6287-4cc2-be24-717569238525/stream.mp3
11	:	1695825330.585	   676.726	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/6f6e5ea5-2406-4d2f-9989-f2d6e33312e6/stream.mp3
8	:	1695823650.157	  2667.567	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/5af8bdeb-a9f9-4740-b1ba-6d22bf2c0755/stream.mp3
12	:	1695826007.329	  2131.348	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/509a53bf-1a3a-410a-8f29-0a348e3ca0df/stream.mp3
10	:	1695824319.063	  4063.125	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/5f94c7d0-92a8-47b8-9d01-89027e04246d/stream.mp3
14	:	1695828138.706	  1129.513	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/a81b1caf-6bed-4bfa-b5f5-afefa4aec3dd/stream.mp3
13	:	1695826317.745	  3471.464	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/a1ce3068-101f-4eb8-b909-fdaff6ee12a1/stream.mp3
15	:	1695828382.201	  1983.811	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/bf23ae1f-a524-4737-ba08-07ece32c6ac6/stream.mp3
16	:	1695829268.241	  1147.480	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/c7d753bf-a688-4692-a5c8-f9ffc31aaad6/stream.mp3
18	:	1695830366.033	  1447.796	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/ea38b9f8-94cd-4455-a341-89f943ebf410/stream.mp3
19	:	1695830415.745	  1993.429	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/f126105f-1c58-4ac4-9e93-6416112ed272/stream.mp3
20	:	1695831813.853	  1379.083	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/f6f6d9ed-c9e6-424e-9c09-752be5b08153/stream.mp3
17	:	1695829789.225	  3732.627	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/d9788369-2518-4aa1-9f35-1b7ce7009847/stream.mp3
21	:	1695832409.193	  2704.882	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/fb45b1f8-39d0-4e39-b44d-b3332a405b4b/stream.mp3
23	:	1695833521.873	  1664.319	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/9bca9e4c-2331-4e67-80e5-b15605c45495/stream.mp3
22	:	1695833192.957	  2006.463	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/fedb5191-bc43-4ed5-a6e6-bc6a17fa5b1f/stream.mp3
24	:	1695835114.087	   335.485	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://pdst.fm/e/audio4.redcircle.com/episodes/0834ecb0-f662-4113-849f-baca082f7a4f/stream.mp3
25	:	1695835186.212	   370.236	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://api.spreaker.com/download/episode/52586610/21_hats_episode_141_stereo.mp3
26	:	1695835199.425	   366.460	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://2guys.red40net.com/podlove/file/477/s/feed/c/mp3/the-gate.mp3
29	:	1695835565.890	   153.998	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31161/if-money-were-easy-behind-the-scenes-of-co-leadership.mp3
28	:	1695835556.452	   165.426	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31290/if-money-were-easy-uniting-mothers-as-advocates-with-raena-boston.mp3
27	:	1695835449.577	   361.654	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio4.redcircle.com/episodes/fe5bad69-f1a7-4603-ba74-861c4e4f8b98/stream.mp3
30	:	1695835719.894	   137.213	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31097/if-money-were-easy-what-shareholder-engagement-looks-like-in-action-with-kate-barron-alicante.mp3
31	:	1695835721.883	   138.828	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31061/if-money-were-easy-whats-your-financial-archetype-with-brent-kessel.mp3
32	:	1695835811.245	   164.226	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31000/if-money-were-easy-how-financial-advisors-manage-their-own-money.mp3
34	:	1695835860.715	   149.532	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/30781/if-money-were-easy-divorce-and-your-money-how-to-maintain-your-financial-health-with-lara-lamb.mp3
33	:	1695835857.121	   158.023	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/30786/if-money-were-easy-money-and-mindfulness-with-spencer-sherman.mp3
35	:	1695835975.476	    94.054	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/30734/if-money-were-easy-the-gender-wealth-gap-and-what-to-do-about-it.mp3
38	:	1695836069.536	    45.486	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263240/romanos_91.mp3
37	:	1695836015.149	   111.289	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31479/if-money-were-easy-so-you-want-to-be-a-real-estate-mogul.mp3
36	:	1695836010.253	   126.325	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31534/if-money-were-easy-finding-your-moneyzen-with-manisha-thakor.mp3
39	:	1695836115.026	    30.928	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597898/romanos_96.mp3
40	:	1695836126.444	    30.315	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597897/romanos_99.mp3
41	:	1695836136.583	    30.710	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597896/romanos_101.mp3
42	:	1695836145.961	    29.689	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597895/romanos_100.mp3
43	:	1695836156.765	    30.475	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597894/romanos_98.mp3
44	:	1695836167.300	    30.049	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597892/romanos_97.mp3
45	:	1695836175.656	    28.877	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56474539/romanos_95.mp3
46	:	1695836187.247	    30.917	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250441/romanos_72.mp3
47	:	1695836197.369	    28.848	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250442/romanos_73.mp3
48	:	1695836204.539	    30.983	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250443/romanos_71.mp3
49	:	1695836218.170	    31.006	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496898/romanos_75.mp3
50	:	1695836226.224	    33.911	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496899/romanos_76.mp3
51	:	1695836235.529	    31.555	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263241/romanos_92.mp3
52	:	1695836249.182	    31.917	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496900/romanos_74.mp3
53	:	1695836260.141	    33.394	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960816/romanos_79.mp3
54	:	1695836267.089	    33.151	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960817/romanos_77.mp3
55	:	1695836281.103	    32.412	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55994188/romanos_81.mp3
56	:	1695836293.541	    32.479	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55994189/romanos_82.mp3
57	:	1695836300.247	    29.677	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56039998/romanos_85.mp3
58	:	1695836313.520	    28.750	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56039999/romanos_84.mp3
59	:	1695836326.023	    30.062	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263242/romanos_93.mp3
60	:	1695836329.930	    32.816	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56040000/romanos_83.mp3
61	:	1695836342.277	    29.811	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118380/romanos_86.mp3
62	:	1695836356.089	    29.209	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118381/romanos_88.mp3
63	:	1695836362.753	    28.503	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118382/romanos_87.mp3
64	:	1695836372.094	    29.486	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56231733/romanos_89.mp3
65	:	1695836385.303	    33.996	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56231783/romanos_90.mp3
66	:	1695836391.262	    33.974	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960815/romanos_78.mp3
67	:	1695836401.587	    32.302	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56474538/romanos_94.mp3
68	:	1695836419.305	    29.282	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55763354/romanos_80.mp3
69	:	1695836425.243	    30.244	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://api.spreaker.com/download/episode/52706450/02_12.mp3
72	:	1695836455.493	   218.292	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio3.redcircle.com/episodes/898c5170-b12c-421b-b2d9-337cd7a40c34/stream.mp3
70	:	1695836433.895	   246.641	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio3.redcircle.com/episodes/81ed922b-1731-4112-b037-5916ccc68011/stream.mp3
71	:	1695836448.594	   258.931	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio3.redcircle.com/episodes/903d9777-6398-46cd-ab21-0c5e00334f38/stream.mp3
73	:	1695836673.792	   156.236	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio3.redcircle.com/episodes/7dec5776-82d3-4fd2-a360-2ccb4b0d70c3/stream.mp3
74	:	1695836680.542	   216.419	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio3.redcircle.com/episodes/681fd92e-b99a-444a-8034-9ed3276d74b3/stream.mp3
75	:	1695836707.532	   231.121	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio3.redcircle.com/episodes/3ada9a5e-3aae-41e4-ba55-00612d8387bc/stream.mp3
76	:	1695836830.033	   274.279	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio3.redcircle.com/episodes/194a2e74-06eb-4682-b51b-ba548238d4b8/stream.mp3
77	:	1695836896.967	   233.592	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio3.redcircle.com/episodes/c670ff5d-7d1e-4c8f-af5a-1ccd3d4e09b4/stream.mp3
78	:	1695836938.659	   202.417	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio3.redcircle.com/episodes/ca872f63-fd0f-4bfc-9afe-522443901026/stream.mp3
79	:	1695837104.319	   183.698	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/6/14/family_room_2023-06-14%2011:00.mp3
80	:	1695837130.565	   191.144	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/4/12/family_room_2023-04-12%2011:00.mp3
81	:	1695837141.083	   188.990	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/4/19/family_room_2023-04-19%2011:00.mp3
82	:	1695837288.026	   177.078	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/8/9/family_room_2023-08-09%2011:00.mp3
83	:	1695837321.721	   187.894	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/4/26/family_room_2023-04-26%2011:00.mp3
84	:	1695837330.085	   188.658	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/4/5/family_room_2023-04-05%2011:00.mp3
85	:	1695837465.110	   187.875	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/5/10/family_room_2023-05-10%2011:00.mp3
86	:	1695837509.625	   199.296	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/5/17/family_room_2023-05-17%2011:00.mp3
87	:	1695837518.750	   195.983	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/8/23/family_room_2023-08-23%2011:00.mp3
88	:	1695837652.997	   167.348	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/8/2/family_room_2023-08-02%2011:00.mp3
89	:	1695837708.931	   183.321	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://am1160.atl.org/podcasts/recordings/2023/5/31/family_room_2023-05-31%2011:00.mp3
