Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1695753431.975	   983.666	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/3c3e73af-49ff-41a2-9d84-f83c51a6de9d/stream.mp3
2	:	1695754415.649	  1206.618	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/27e662c8-bea5-4b93-bb57-3fa15853b336/stream.mp3
3	:	1695755622.276	   299.375	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/2f8c0bc9-a240-433d-934c-8971d8da0a6c/stream.mp3
4	:	1695755921.657	   527.258	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/3e117127-2451-4717-ba7f-b031b0acbe8d/stream.mp3
5	:	1695756448.921	   131.805	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/3eb1266f-717a-436b-a2b1-a084f9c416dc/stream.mp3
6	:	1695756580.730	   114.204	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/4d002f6d-809c-424c-8c1c-e81eede7c608/stream.mp3
7	:	1695756694.940	    97.113	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/567bd372-73d9-4f2c-bc30-aee9a99ccaec/stream.mp3
8	:	1695756792.059	   149.131	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/5af8bdeb-a9f9-4740-b1ba-6d22bf2c0755/stream.mp3
9	:	1695756941.196	    98.858	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/5c6ec59f-6287-4cc2-be24-717569238525/stream.mp3
10	:	1695757040.060	   230.371	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/5f94c7d0-92a8-47b8-9d01-89027e04246d/stream.mp3
11	:	1695757270.435	    46.088	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/6f6e5ea5-2406-4d2f-9989-f2d6e33312e6/stream.mp3
12	:	1695757316.528	   118.223	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/509a53bf-1a3a-410a-8f29-0a348e3ca0df/stream.mp3
13	:	1695757434.756	   167.442	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/a1ce3068-101f-4eb8-b909-fdaff6ee12a1/stream.mp3
14	:	1695757602.204	    89.539	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/a81b1caf-6bed-4bfa-b5f5-afefa4aec3dd/stream.mp3
15	:	1695757691.749	    96.631	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/bf23ae1f-a524-4737-ba08-07ece32c6ac6/stream.mp3
16	:	1695757788.386	    87.731	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/c7d753bf-a688-4692-a5c8-f9ffc31aaad6/stream.mp3
17	:	1695757876.123	   194.815	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/d9788369-2518-4aa1-9f35-1b7ce7009847/stream.mp3
18	:	1695758070.945	    86.847	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://audio1.redcircle.com/episodes/ea38b9f8-94cd-4455-a341-89f943ebf410/stream.mp3
