Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
136	:	1698176974.286	  3626.013	0	0	0	0	python3 runNERSingleFile.py dSplit77 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
2	:	1698176969.977	  3745.276	0	0	0	0	python3 runNERSingleFile.py dSplit1 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
130	:	1698176974.067	  3792.138	0	0	0	0	python3 runNERSingleFile.py dSplit71 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
12	:	1698176970.050	  3881.200	0	0	0	0	python3 runNERSingleFile.py dSplit108 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
65	:	1698176971.352	  4011.841	0	0	0	0	python3 runNERSingleFile.py dSplit156 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
116	:	1698176973.130	  4075.946	0	0	0	0	python3 runNERSingleFile.py dSplit59 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
34	:	1698176970.483	  4693.759	0	0	0	0	python3 runNERSingleFile.py dSplit128 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
14	:	1698176970.069	  4832.075	0	0	0	0	python3 runNERSingleFile.py dSplit11 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
20	:	1698176970.164	  4833.915	0	0	0	0	python3 runNERSingleFile.py dSplit115 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
19	:	1698176970.143	  4875.090	0	0	0	0	python3 runNERSingleFile.py dSplit114 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
27	:	1698176970.364	  5021.200	0	0	0	0	python3 runNERSingleFile.py dSplit121 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
43	:	1698176970.624	  5058.773	0	0	0	0	python3 runNERSingleFile.py dSplit136 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
15	:	1698176970.078	  5090.944	0	0	0	0	python3 runNERSingleFile.py dSplit110 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
36	:	1698176970.537	  5135.397	0	0	0	0	python3 runNERSingleFile.py dSplit13 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
38	:	1698176970.559	  5201.371	0	0	0	0	python3 runNERSingleFile.py dSplit131 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
82	:	1698176971.872	  5238.259	0	0	0	0	python3 runNERSingleFile.py dSplit28 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
22	:	1698176970.214	  5240.878	0	0	0	0	python3 runNERSingleFile.py dSplit117 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
59	:	1698176971.095	  5468.441	0	0	0	0	python3 runNERSingleFile.py dSplit150 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
74	:	1698176971.704	  5642.961	0	0	0	0	python3 runNERSingleFile.py dSplit20 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
118	:	1698176973.403	  5649.360	0	0	0	0	python3 runNERSingleFile.py dSplit60 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
131	:	1698176974.100	  5694.776	0	0	0	0	python3 runNERSingleFile.py dSplit72 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
115	:	1698176973.025	  5700.865	0	0	0	0	python3 runNERSingleFile.py dSplit58 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
35	:	1698176970.521	  5765.189	0	0	0	0	python3 runNERSingleFile.py dSplit129 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
16	:	1698176970.094	  5808.838	0	0	0	0	python3 runNERSingleFile.py dSplit111 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
122	:	1698176973.567	  5824.800	0	0	0	0	python3 runNERSingleFile.py dSplit64 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
156	:	1698176975.593	  5828.087	0	0	0	0	python3 runNERSingleFile.py dSplit95 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
91	:	1698176972.349	  5842.166	0	0	0	0	python3 runNERSingleFile.py dSplit36 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
5	:	1698176969.997	  5880.874	0	0	0	0	python3 runNERSingleFile.py dSplit101 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
86	:	1698176972.117	  5927.729	0	0	0	0	python3 runNERSingleFile.py dSplit31 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
41	:	1698176970.598	  5929.736	0	0	0	0	python3 runNERSingleFile.py dSplit134 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
48	:	1698176970.863	  5941.634	0	0	0	0	python3 runNERSingleFile.py dSplit140 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
