Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
35	:	1695264156.886	    30.830	0	34	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/30734/if-money-were-easy-the-gender-wealth-gap-and-what-to-do-about-it.mp3
11	:	1695264156.593	    58.447	0	3216	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/6f6e5ea5-2406-4d2f-9989-f2d6e33312e6/stream.mp3
1	:	1695264156.523	    67.569	0	2891	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/3c3e73af-49ff-41a2-9d84-f83c51a6de9d/stream.mp3
38	:	1695264156.906	    68.025	0	3186	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263240/romanos_91.mp3
9	:	1695264156.577	    69.427	0	3806	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/5c6ec59f-6287-4cc2-be24-717569238525/stream.mp3
39	:	1695264156.915	    69.832	0	3375	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597898/romanos_96.mp3
26	:	1695264156.804	    71.518	0	2774	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://2guys.red40net.com/podlove/file/477/s/feed/c/mp3/the-gate.mp3
3	:	1695264156.538	    72.073	0	3391	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/2f8c0bc9-a240-433d-934c-8971d8da0a6c/stream.mp3
6	:	1695264156.557	    72.611	0	3266	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/4d002f6d-809c-424c-8c1c-e81eede7c608/stream.mp3
20	:	1695264156.696	    72.588	0	2213	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/f6f6d9ed-c9e6-424e-9c09-752be5b08153/stream.mp3
19	:	1695264156.671	    73.588	0	3468	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/f126105f-1c58-4ac4-9e93-6416112ed272/stream.mp3
16	:	1695264156.629	    73.854	0	3242	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/c7d753bf-a688-4692-a5c8-f9ffc31aaad6/stream.mp3
25	:	1695264156.782	    75.016	0	2737	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://api.spreaker.com/download/episode/52586610/21_hats_episode_141_stereo.mp3
12	:	1695264156.599	    78.875	0	3755	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/509a53bf-1a3a-410a-8f29-0a348e3ca0df/stream.mp3
15	:	1695264156.619	    79.437	0	3041	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/bf23ae1f-a524-4737-ba08-07ece32c6ac6/stream.mp3
14	:	1695264156.611	    82.405	0	3167	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/a81b1caf-6bed-4bfa-b5f5-afefa4aec3dd/stream.mp3
18	:	1695264156.658	    83.746	0	3136	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/ea38b9f8-94cd-4455-a341-89f943ebf410/stream.mp3
24	:	1695264156.762	    85.240	0	2343	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://pdst.fm/e/audio4.redcircle.com/episodes/0834ecb0-f662-4113-849f-baca082f7a4f/stream.mp3
7	:	1695264156.562	    87.572	0	3677	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/567bd372-73d9-4f2c-bc30-aee9a99ccaec/stream.mp3
4	:	1695264156.544	    89.882	0	3486	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/3e117127-2451-4717-ba7f-b031b0acbe8d/stream.mp3
5	:	1695264156.551	    90.209	0	3629	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/3eb1266f-717a-436b-a2b1-a084f9c416dc/stream.mp3
13	:	1695264156.605	    92.275	0	3815	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/a1ce3068-101f-4eb8-b909-fdaff6ee12a1/stream.mp3
22	:	1695264156.725	    95.299	0	3901	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/fedb5191-bc43-4ed5-a6e6-bc6a17fa5b1f/stream.mp3
2	:	1695264156.532	    96.235	0	3287	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/27e662c8-bea5-4b93-bb57-3fa15853b336/stream.mp3
8	:	1695264156.566	    96.621	0	2841	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/5af8bdeb-a9f9-4740-b1ba-6d22bf2c0755/stream.mp3
37	:	1695264156.900	    96.715	0	3332	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31479/if-money-were-easy-so-you-want-to-be-a-real-estate-mogul.mp3
23	:	1695264156.743	    97.125	0	3512	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/9bca9e4c-2331-4e67-80e5-b15605c45495/stream.mp3
36	:	1695264156.893	   100.463	0	2535	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31534/if-money-were-easy-finding-your-moneyzen-with-manisha-thakor.mp3
34	:	1695264156.872	   101.147	0	2612	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/30781/if-money-were-easy-divorce-and-your-money-how-to-maintain-your-financial-health-with-lara-lamb.mp3
31	:	1695264156.853	   101.217	0	3087	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31061/if-money-were-easy-whats-your-financial-archetype-with-brent-kessel.mp3
30	:	1695264156.846	   101.809	0	3034	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31097/if-money-were-easy-what-shareholder-engagement-looks-like-in-action-with-kate-barron-alicante.mp3
