Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
38	:	1694635753.831	   148.441	0	46627	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263240/romanos_91.mp3
39	:	1694635753.838	   224.523	0	38200	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597898/romanos_96.mp3
40	:	1694635753.845	   395.970	0	24182	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597897/romanos_99.mp3
42	:	1694635978.374	   196.040	0	58495	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597895/romanos_100.mp3
41	:	1694635902.297	   382.398	0	48853	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597896/romanos_101.mp3
43	:	1694636149.829	   142.453	0	51865	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597894/romanos_98.mp3
45	:	1694636284.715	   156.137	0	34587	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56474539/romanos_95.mp3
46	:	1694636292.296	   153.394	0	37164	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250441/romanos_72.mp3
35	:	1694635753.811	   831.539	0	249344	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/30734/if-money-were-easy-the-gender-wealth-gap-and-what-to-do-about-it.mp3
47	:	1694636440.874	   166.766	0	44727	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250442/romanos_73.mp3
44	:	1694636174.434	   445.684	0	47232	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597892/romanos_97.mp3
48	:	1694636445.712	   177.155	0	37170	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250443/romanos_71.mp3
49	:	1694636585.400	   153.008	0	51929	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496898/romanos_75.mp3
37	:	1694635753.824	  1038.487	0	286837	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31479/if-money-were-easy-so-you-want-to-be-a-real-estate-mogul.mp3
50	:	1694636607.663	   209.745	0	71261	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496899/romanos_76.mp3
52	:	1694636622.897	   216.603	0	50932	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496900/romanos_74.mp3
51	:	1694636620.140	   243.322	0	38611	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263241/romanos_92.mp3
29	:	1694635753.756	  1133.455	0	307336	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31161/if-money-were-easy-behind-the-scenes-of-co-leadership.mp3
53	:	1694636738.423	   192.148	0	34039	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960816/romanos_79.mp3
30	:	1694635753.761	  1206.083	0	303617	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31097/if-money-were-easy-what-shareholder-engagement-looks-like-in-action-with-kate-barron-alicante.mp3
28	:	1694635753.750	  1232.131	0	278642	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31290/if-money-were-easy-uniting-mothers-as-advocates-with-raena-boston.mp3
