Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1695266043.453	    93.375	0	2529	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/3e117127-2451-4717-ba7f-b031b0acbe8d/stream.mp3
3	:	1695266043.450	   181.192	0	3401	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/2f8c0bc9-a240-433d-934c-8971d8da0a6c/stream.mp3
1	:	1695266043.444	   218.645	0	2957	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/3c3e73af-49ff-41a2-9d84-f83c51a6de9d/stream.mp3
8	:	1695266043.464	   220.128	0	3083	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/5af8bdeb-a9f9-4740-b1ba-6d22bf2c0755/stream.mp3
6	:	1695266043.458	   227.868	0	3390	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/4d002f6d-809c-424c-8c1c-e81eede7c608/stream.mp3
7	:	1695266043.462	   238.596	0	3786	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/567bd372-73d9-4f2c-bc30-aee9a99ccaec/stream.mp3
10	:	1695266043.471	   242.131	0	3564	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/5f94c7d0-92a8-47b8-9d01-89027e04246d/stream.mp3
2	:	1695266043.448	   248.080	0	3241	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/27e662c8-bea5-4b93-bb57-3fa15853b336/stream.mp3
9	:	1695266043.467	   249.276	0	3875	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/5c6ec59f-6287-4cc2-be24-717569238525/stream.mp3
5	:	1695266043.456	   249.476	0	3750	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/3eb1266f-717a-436b-a2b1-a084f9c416dc/stream.mp3
11	:	1695266136.834	   161.061	0	3313	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/6f6e5ea5-2406-4d2f-9989-f2d6e33312e6/stream.mp3
14	:	1695266263.599	    47.532	0	400	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOneGPU.sh https://audio1.redcircle.com/episodes/a81b1caf-6bed-4bfa-b5f5-afefa4aec3dd/stream.mp3
